Title,Description,"Gift Type (1 = GIFT, 2 = VOUCHER)",Point,Image URL
"v guard 3 L Instant Water Wall Mounted Geyser (White, Sprinhot?)","v guard 3 L Instant Water Wall Mounted Geyser (White, Sprinhot?)",1,10320,https://m.media-amazon.com/images/I/41gWyTK0HuL.jpg
"LG 8 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T80VBMB4Z, Turbodrum, Auto Prewash, Stainless Steel drum, LED Display, Smart Diagnosis, Middle Black)","LG 8 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T80VBMB4Z, Turbodrum, Auto Prewash, Stainless Steel drum, LED Display, Smart Diagnosis, Middle Black)",1,55970,https://m.media-amazon.com/images/I/71BITpPSjML._SY606_.jpg
"Kutchina Flora DLX 90 Filterless Autoclean Chimney for Kitchen | 3rd Gen Dry Auto Clean | 1200 m≥/hr Suction | Touch Control + Wave Sensor | Oil Collector | Warranty 9yrs on Motor, 1yr on Product","Kutchina Flora DLX 90 Filterless Autoclean Chimney for Kitchen | 3rd Gen Dry Auto Clean | 1200 m≥/hr Suction | Touch Control + Wave Sensor | Oil Collector | Warranty 9yrs on Motor, 1yr on Product",1,37770,https://m.media-amazon.com/images/I/31X3yPjpG2L._SX342_SY445_QL70_FMwebp_.jpg
"Havells 1200Mm Ambrose Es Ceiling Fan|Premium Matt Finish,Decorative Fan,Elegant Looks,High Air Delivery,Energy Saving,100% Pure Copper Motor|2 Year Warranty By Brand|3.8 stars,(Pack Of 1,Copper)","Havells 1200Mm Ambrose Es Ceiling Fan|Premium Matt Finish,Decorative Fan,Elegant Looks,High Air Delivery,Energy Saving,100% Pure Copper Motor|2 Year Warranty By Brand|3.8 stars,(Pack Of 1,Copper)",1,6440,https://m.media-amazon.com/images/I/515ceyK8k-L._SX569_.jpg
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]","OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]",1,4760,https://m.media-amazon.com/images/I/51oMWaW7tKL._SX569_.jpg
"LG 272 L 3 Star Frost-Free Smart Inverter Compressor Double Door Refrigerator (GL-S312SPZX, Shiny Steel, Convertible & Multi Air Flow Cooling)","LG 272 L 3 Star Frost-Free Smart Inverter Compressor Double Door Refrigerator (GL-S312SPZX, Shiny Steel, Convertible & Multi Air Flow Cooling)",1,83970,https://m.media-amazon.com/images/I/61KnDSFPOfL._SY606_.jpg
"Redmi Pad Pro| Snapdragon 7s Gen 2| 30.7cm(12.1"") Tablet| 33+ Days Standby|10000mAh| HyperOS| 120Hz|6GB, 128GB| Quad Speakers|Wi-Fi 6| Mist Blue","Redmi Pad Pro| Snapdragon 7s Gen 2| 30.7cm(12.1"") Tablet| 33+ Days Standby|10000mAh| HyperOS| 120Hz|6GB, 128GB| Quad Speakers|Wi-Fi 6| Mist Blue",1,56000,https://m.media-amazon.com/images/I/41eC+dy1QDL._SY300_SX300_QL70_FMwebp_.jpg
"PHILIPS Air fryer for Home, 4.1 Liter, with RapidAir Technology (Black), with additional 1 Yr Warranty by Philips, uses up to 90% less fat (HD9200/90)","PHILIPS Air fryer for Home, 4.1 Liter, with RapidAir Technology (Black), with additional 1 Yr Warranty by Philips, uses up to 90% less fat (HD9200/90)",1,17500,https://m.media-amazon.com/images/I/41exFmRRtqL._SX569_.jpg
"REDMI 13C (STARSHINE GREEN, 6GB RAM, 128GB STORAGE) | POWERED BY 4G MEDIATEK HELIO G85 | 90HZ DISPLAY | 50MP AI TRIPLE CAMERA","REDMI 13C (STARSHINE GREEN, 6GB RAM, 128GB STORAGE) | POWERED BY 4G MEDIATEK HELIO G85 | 90HZ DISPLAY | 50MP AI TRIPLE CAMERA",1,28000,https://m.media-amazon.com/images/I/411iWoJEJjL._SY300_SX300_QL70_FMwebp_.jpg
"REDMI NOTE 13 5G (ARCTIC WHITE, 6GB RAM, 128GB STORAGE) | MTK DIMENSITY 6080 5G | 7.6MM, SLIMMEST NOTE EVER","REDMI NOTE 13 5G (ARCTIC WHITE, 6GB RAM, 128GB STORAGE) | MTK DIMENSITY 6080 5G | 7.6MM, SLIMMEST NOTE EVER",1,50400,https://m.media-amazon.com/images/I/71VW8LmqqPL._SX679_.jpg
"OPPO RENO12 PRO 5G (SUNSET GOLD ,256 GB)(12GB RAM)","OPPO RENO12 PRO 5G (SUNSET GOLD ,256 GB)(12GB RAM)",1,106400,https://m.media-amazon.com/images/I/41ZyErUwKYL._SY550_.jpg
"ONEPLUS 12R (IRON GRAY, 8GB RAM, 128GB STORAGE)","ONEPLUS 12R (IRON GRAY, 8GB RAM, 128GB STORAGE)",1,1400,https://m.media-amazon.com/images/I/71XNeka-BRL._SX569_.jpg
APPLE IPHONE 15 (128 GB) - BLUE,APPLE IPHONE 15 (128 GB) - BLUE,1,167720,https://m.media-amazon.com/images/I/71d7rfSl0wL._SX569_.jpg
APPLE IPHONE 15 PLUS (256 GB) - GREEN,APPLE IPHONE 15 PLUS (256 GB) - GREEN,1,195720,https://m.media-amazon.com/images/I/71ZP6U9sWTL._SX569_.jpg
"LG 242 L 3 STAR SMART INVERTER FROST-FREE DOUBLE DOOR REFRIGERATOR (GL-I292RPZX, SHINY STEEL, DOOR COOLING+)","LG 242 L 3 STAR SMART INVERTER FROST-FREE DOUBLE DOOR REFRIGERATOR (GL-I292RPZX, SHINY STEEL, DOOR COOLING+)",1,69970,https://m.media-amazon.com/images/I/31D65qgd9cL._SX342_SY445_QL70_FMwebp_.jpg
"SAMSUNG 8 KG, AI CONTROL, WI-FI, HYGIENE STEAM WITH INBUILT HEATER, DIGITAL INVERTER, FULLY-AUTOMATIC FRONT LOAD WASHING MACHINE (WW80T504DAX1TL, INOX)","SAMSUNG 8 KG, AI CONTROL, WI-FI, HYGIENE STEAM WITH INBUILT HEATER, DIGITAL INVERTER, FULLY-AUTOMATIC FRONT LOAD WASHING MACHINE (WW80T504DAX1TL, INOX)",1,100770,https://m.media-amazon.com/images/I/71+htsZNuyL._SX466_.jpg
"SAMSUNG 2 TON 3 STAR WI-FI ENABLED INVERTER SPLIT AC (COPPER, CONVERTIBLE 5-IN-1 COOLING MODE, ANTI-BACTERIAL FILTER, 2023 MODEL AR24CYLZABE WHITE)","SAMSUNG 2 TON 3 STAR WI-FI ENABLED INVERTER SPLIT AC (COPPER, CONVERTIBLE 5-IN-1 COOLING MODE, ANTI-BACTERIAL FILTER, 2023 MODEL AR24CYLZABE WHITE)",1,134370,https://m.media-amazon.com/images/I/31jYZ58xWtL._SX342_SY445_QL70_FMwebp_.jpg
